n_poi,n_run,n_epoch,accuracy,precision,recall,f1
5,0,0,0.14035087719298245,0.041666666666666664,0.4,0.07547169811320754
5,0,1,0.4,0.075,0.6,0.13333333333333333
5,0,2,0.10909090909090909,0.06,0.6,0.1090909090909091
5,0,3,0.19672131147540983,0.0,0.0,0.0
5,0,4,0.3125,0.024390243902439025,0.2,0.04347826086956522
5,0,5,0.1724137931034483,0.0425531914893617,0.4,0.07692307692307691
5,0,6,0.5974025974025974,0.03571428571428571,0.2,0.06060606060606061
5,0,7,0.38095238095238093,0.09523809523809523,0.8,0.1702127659574468
5,0,8,0.03571428571428571,0.0,0.0,0.0
5,0,9,0.21428571428571427,0.10204081632653061,1.0,0.1851851851851852
5,0,10,0.5633802816901409,0.11764705882352941,0.8,0.20512820512820512
5,0,11,0.40625,0.0975609756097561,0.8,0.1739130434782609
5,0,12,0.10344827586206896,0.0,0.0,0.0
5,0,13,0.5074626865671642,0.13157894736842105,1.0,0.23255813953488372
5,0,14,0.2711864406779661,0.08695652173913043,0.8,0.1568627450980392
5,0,15,0.19672131147540983,0.0,0.0,0.0
5,0,16,0.5714285714285714,0.14285714285714285,1.0,0.25
5,0,17,0.24561403508771928,0.10416666666666667,1.0,0.18867924528301885
5,0,18,0.03571428571428571,0.0,0.0,0.0
5,0,19,0.48484848484848486,0.1282051282051282,1.0,0.22727272727272727
5,0,20,0.3050847457627119,0.10869565217391304,1.0,0.19607843137254902
5,0,21,0.45454545454545453,0.10256410256410256,0.8,0.18181818181818182
5,0,22,0.36065573770491804,0.11363636363636363,1.0,0.20408163265306123
5,0,23,0.48484848484848486,0.1282051282051282,1.0,0.22727272727272727
5,0,24,0.3050847457627119,0.10869565217391304,1.0,0.19607843137254902
5,1,0,0.21052631578947367,0.08333333333333333,0.8,0.1509433962264151
5,1,1,0.21052631578947367,0.08333333333333333,0.8,0.1509433962264151
5,1,2,0.14545454545454545,0.08,0.8,0.14545454545454545
5,1,3,0.2903225806451613,0.046511627906976744,0.4,0.08333333333333333
5,1,4,0.13559322033898305,0.0,0.0,0.0
5,1,5,0.2413793103448276,0.0851063829787234,0.8,0.15384615384615383
5,1,6,0.16666666666666666,0.0,0.0,0.0
5,1,7,0.03571428571428571,0.0,0.0,0.0
5,1,8,0.13559322033898305,0.0,0.0,0.0
5,1,9,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,1,10,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,1,11,0.18181818181818182,0.1,1.0,0.18181818181818182
5,1,12,0.03571428571428571,0.0,0.0,0.0
5,1,13,0.27586206896551724,0.10638297872340426,1.0,0.1923076923076923
5,1,14,0.36065573770491804,0.11363636363636363,1.0,0.20408163265306123
5,1,15,0.5714285714285714,0.14285714285714285,1.0,0.25
5,1,16,0.21428571428571427,0.10204081632653061,1.0,0.1851851851851852
5,1,17,0.19672131147540983,0.0,0.0,0.0
5,1,18,0.3333333333333333,0.1111111111111111,1.0,0.19999999999999998
5,1,19,0.21428571428571427,0.10204081632653061,1.0,0.1851851851851852
5,1,20,0.5217391304347826,0.1111111111111111,0.8,0.19512195121951217
5,1,21,0.5915492957746479,0.14705882352941177,1.0,0.25641025641025644
5,1,22,0.5074626865671642,0.13157894736842105,1.0,0.23255813953488372
5,1,23,0.6301369863013698,0.15625,1.0,0.2702702702702703
5,1,24,0.5507246376811594,0.1388888888888889,1.0,0.24390243902439027
5,2,0,0.32786885245901637,0.09090909090909091,0.8,0.163265306122449
5,2,1,0.1694915254237288,0.021739130434782608,0.2,0.0392156862745098
5,2,2,0.07142857142857142,0.02040816326530612,0.2,0.03703703703703703
5,2,3,0.3125,0.024390243902439025,0.2,0.04347826086956522
5,2,4,0.14545454545454545,0.08,0.8,0.14545454545454545
5,2,5,0.2,0.022222222222222223,0.2,0.039999999999999994
5,2,6,0.28125,0.0,0.0,0.0
5,2,7,0.13559322033898305,0.0,0.0,0.0
5,2,8,0.47058823529411764,0.08108108108108109,0.6,0.14285714285714288
5,2,9,0.5135135135135135,0.0,0.0,0.0
5,2,10,0.14545454545454545,0.08,0.8,0.14545454545454545
5,2,11,0.40625,0.0975609756097561,0.8,0.1739130434782609
5,2,12,0.3333333333333333,0.1111111111111111,1.0,0.19999999999999998
5,2,13,0.24561403508771928,0.10416666666666667,1.0,0.18867924528301885
5,2,14,0.4375,0.12195121951219512,1.0,0.21739130434782605
5,2,15,0.10344827586206896,0.0,0.0,0.0
5,2,16,0.3050847457627119,0.10869565217391304,1.0,0.19607843137254902
5,2,17,0.22580645161290322,0.0,0.0,0.0
5,2,18,0.24561403508771928,0.10416666666666667,1.0,0.18867924528301885
5,2,19,0.4375,0.12195121951219512,1.0,0.21739130434782605
5,2,20,0.5074626865671642,0.13157894736842105,1.0,0.23255813953488372
5,2,21,0.3333333333333333,0.1111111111111111,1.0,0.19999999999999998
5,2,22,0.2711864406779661,0.08695652173913043,0.8,0.1568627450980392
5,2,23,0.5074626865671642,0.13157894736842105,1.0,0.23255813953488372
5,2,24,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,3,0,0.17543859649122806,0.0625,0.6,0.11320754716981132
5,3,1,0.2711864406779661,0.08695652173913043,0.8,0.1568627450980392
5,3,2,0.42424242424242425,0.07692307692307693,0.6,0.13636363636363635
5,3,3,0.3333333333333333,0.0,0.0,0.0
5,3,4,0.3,0.08888888888888889,0.8,0.15999999999999998
5,3,5,0.4,0.075,0.6,0.13333333333333333
5,3,6,0.22580645161290322,0.0,0.0,0.0
5,3,7,0.2,0.022222222222222223,0.2,0.039999999999999994
5,3,8,0.36065573770491804,0.11363636363636363,1.0,0.20408163265306123
5,3,9,0.47761194029850745,0.10526315789473684,0.8,0.18604651162790697
5,3,10,0.47761194029850745,0.10526315789473684,0.8,0.18604651162790697
5,3,11,0.2711864406779661,0.08695652173913043,0.8,0.1568627450980392
5,3,12,0.3333333333333333,0.1111111111111111,1.0,0.19999999999999998
5,3,13,0.5074626865671642,0.13157894736842105,1.0,0.23255813953488372
5,3,14,0.10344827586206896,0.0,0.0,0.0
5,3,15,0.5507246376811594,0.1388888888888889,1.0,0.24390243902439027
5,3,16,0.03571428571428571,0.0,0.0,0.0
5,3,17,0.38095238095238093,0.09523809523809523,0.8,0.1702127659574468
5,3,18,0.4307692307692308,0.1,0.8,0.1777777777777778
5,3,19,0.4375,0.12195121951219512,1.0,0.21739130434782605
5,3,20,0.13793103448275862,0.02127659574468085,0.2,0.03846153846153846
5,3,21,0.27586206896551724,0.10638297872340426,1.0,0.1923076923076923
5,3,22,0.19672131147540983,0.0,0.0,0.0
5,3,23,0.3870967741935484,0.11627906976744186,1.0,0.20833333333333334
5,3,24,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,4,0,0.4,0.075,0.6,0.13333333333333333
5,4,1,0.2033898305084746,0.043478260869565216,0.4,0.0784313725490196
5,4,2,0.26229508196721313,0.045454545454545456,0.4,0.0816326530612245
5,4,3,0.34375,0.04878048780487805,0.4,0.08695652173913045
5,4,4,0.3582089552238806,0.0,0.0,0.0
5,4,5,0.3582089552238806,0.0,0.0,0.0
5,4,6,0.32786885245901637,0.09090909090909091,0.8,0.163265306122449
5,4,7,0.14545454545454545,0.08,0.8,0.14545454545454545
5,4,8,0.14285714285714285,0.061224489795918366,0.6,0.1111111111111111
5,4,9,0.21428571428571427,0.10204081632653061,1.0,0.1851851851851852
5,4,10,0.1694915254237288,0.021739130434782608,0.2,0.0392156862745098
5,4,11,0.22580645161290322,0.0,0.0,0.0
5,4,12,0.48484848484848486,0.1282051282051282,1.0,0.22727272727272727
5,4,13,0.10526315789473684,0.020833333333333332,0.2,0.03773584905660377
5,4,14,0.36065573770491804,0.11363636363636363,1.0,0.20408163265306123
5,4,15,0.36065573770491804,0.11363636363636363,1.0,0.20408163265306123
5,4,16,0.19672131147540983,0.0,0.0,0.0
5,4,17,0.07017543859649122,0.0,0.0,0.0
5,4,18,0.48484848484848486,0.1282051282051282,1.0,0.22727272727272727
5,4,19,0.3333333333333333,0.1111111111111111,1.0,0.19999999999999998
5,4,20,0.13559322033898305,0.0,0.0,0.0
5,4,21,0.07017543859649122,0.0,0.0,0.0
5,4,22,0.48484848484848486,0.1282051282051282,1.0,0.22727272727272727
5,4,23,0.16666666666666666,0.0,0.0,0.0
5,4,24,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,5,0,0.631578947368421,0.10344827586206896,0.6,0.17647058823529413
5,5,1,0.4307692307692308,0.1,0.8,0.1777777777777778
5,5,2,0.17857142857142858,0.08163265306122448,0.8,0.1481481481481481
5,5,3,0.38235294117647056,0.0,0.0,0.0
5,5,4,0.417910447761194,0.05263157894736842,0.4,0.09302325581395349
5,5,5,0.40625,0.0975609756097561,0.8,0.1739130434782609
5,5,6,0.10526315789473684,0.020833333333333332,0.2,0.03773584905660377
5,5,7,0.17857142857142858,0.08163265306122448,0.8,0.1481481481481481
5,5,8,0.10526315789473684,0.020833333333333332,0.2,0.03773584905660377
5,5,9,0.27586206896551724,0.10638297872340426,1.0,0.1923076923076923
5,5,10,0.4375,0.12195121951219512,1.0,0.21739130434782605
5,5,11,0.19672131147540983,0.0,0.0,0.0
5,5,12,0.6111111111111112,0.15151515151515152,1.0,0.2631578947368421
5,5,13,0.3076923076923077,0.0,0.0,0.0
5,5,14,0.3333333333333333,0.1111111111111111,1.0,0.19999999999999998
5,5,15,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,5,16,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,5,17,0.4126984126984127,0.11904761904761904,1.0,0.21276595744680848
5,5,18,0.13559322033898305,0.0,0.0,0.0
5,5,19,0.5294117647058824,0.13513513513513514,1.0,0.2380952380952381
5,5,20,0.6842105263157895,0.1724137931034483,1.0,0.29411764705882354
5,5,21,0.24561403508771928,0.10416666666666667,1.0,0.18867924528301885
5,5,22,0.21428571428571427,0.10204081632653061,1.0,0.1851851851851852
5,5,23,0.7012987012987013,0.17857142857142858,1.0,0.30303030303030304
5,5,24,0.3870967741935484,0.11627906976744186,1.0,0.20833333333333334
5,6,0,0.32786885245901637,0.09090909090909091,0.8,0.163265306122449
5,6,1,0.2,0.022222222222222223,0.2,0.039999999999999994
5,6,2,0.3,0.08888888888888889,0.8,0.15999999999999998
5,6,3,0.14285714285714285,0.061224489795918366,0.6,0.1111111111111111
5,6,4,0.22950819672131148,0.022727272727272728,0.2,0.04081632653061225
5,6,5,0.3870967741935484,0.11627906976744186,1.0,0.20833333333333334
5,6,6,0.3880597014925373,0.02631578947368421,0.2,0.046511627906976744
5,6,7,0.36363636363636365,0.02564102564102564,0.2,0.045454545454545456
5,6,8,0.07017543859649122,0.0,0.0,0.0
5,6,9,0.64,0.13333333333333333,0.8,0.2285714285714286
5,6,10,0.16666666666666666,0.0,0.0,0.0
5,6,11,0.3,0.08888888888888889,0.8,0.15999999999999998
5,6,12,0.3050847457627119,0.10869565217391304,1.0,0.19607843137254902
5,6,13,0.5915492957746479,0.14705882352941177,1.0,0.25641025641025644
5,6,14,0.16666666666666666,0.0,0.0,0.0
5,6,15,0.3050847457627119,0.10869565217391304,1.0,0.19607843137254902
5,6,16,0.6301369863013698,0.15625,1.0,0.2702702702702703
5,6,17,0.27586206896551724,0.10638297872340426,1.0,0.1923076923076923
5,6,18,0.3870967741935484,0.11627906976744186,1.0,0.20833333333333334
5,6,19,0.21428571428571427,0.10204081632653061,1.0,0.1851851851851852
5,6,20,0.3548387096774194,0.09302325581395349,0.8,0.16666666666666666
5,6,21,0.6111111111111112,0.15151515151515152,1.0,0.2631578947368421
5,6,22,0.5294117647058824,0.13513513513513514,1.0,0.2380952380952381
5,6,23,0.5507246376811594,0.1388888888888889,1.0,0.24390243902439027
5,6,24,0.19672131147540983,0.0,0.0,0.0
5,7,0,0.13793103448275862,0.02127659574468085,0.2,0.03846153846153846
5,7,1,0.3492063492063492,0.07142857142857142,0.6,0.1276595744680851
5,7,2,0.3384615384615385,0.025,0.2,0.04444444444444445
5,7,3,0.10526315789473684,0.020833333333333332,0.2,0.03773584905660377
5,7,4,0.1694915254237288,0.021739130434782608,0.2,0.0392156862745098
5,7,5,0.2857142857142857,0.023809523809523808,0.2,0.0425531914893617
5,7,6,0.5,0.10810810810810811,0.8,0.19047619047619047
5,7,7,0.22580645161290322,0.0,0.0,0.0
5,7,8,0.2,0.022222222222222223,0.2,0.039999999999999994
5,7,9,0.3225806451612903,0.06976744186046512,0.6,0.125
5,7,10,0.40625,0.0975609756097561,0.8,0.1739130434782609
5,7,11,0.3548387096774194,0.09302325581395349,0.8,0.16666666666666666
5,7,12,0.4057971014492754,0.0,0.0,0.0
5,7,13,0.03571428571428571,0.0,0.0,0.0
5,7,14,0.16666666666666666,0.0,0.0,0.0
5,7,15,0.19672131147540983,0.0,0.0,0.0
5,7,16,0.3050847457627119,0.10869565217391304,1.0,0.19607843137254902
5,7,17,0.3050847457627119,0.10869565217391304,1.0,0.19607843137254902
5,7,18,0.36065573770491804,0.11363636363636363,1.0,0.20408163265306123
5,7,19,0.21428571428571427,0.10204081632653061,1.0,0.1851851851851852
5,7,20,0.07017543859649122,0.0,0.0,0.0
5,7,21,0.10344827586206896,0.0,0.0,0.0
5,7,22,0.3870967741935484,0.11627906976744186,1.0,0.20833333333333334
5,7,23,0.5294117647058824,0.13513513513513514,1.0,0.2380952380952381
5,7,24,0.3870967741935484,0.11627906976744186,1.0,0.20833333333333334
5,8,0,0.17543859649122806,0.0625,0.6,0.11320754716981132
5,8,1,0.3225806451612903,0.06976744186046512,0.6,0.125
5,8,2,0.3492063492063492,0.07142857142857142,0.6,0.1276595744680851
5,8,3,0.26229508196721313,0.045454545454545456,0.4,0.0816326530612245
5,8,4,0.10714285714285714,0.04081632653061224,0.4,0.07407407407407406
5,8,5,0.3225806451612903,0.06976744186046512,0.6,0.125
5,8,6,0.25396825396825395,0.0,0.0,0.0
5,8,7,0.3076923076923077,0.0,0.0,0.0
5,8,8,0.38095238095238093,0.09523809523809523,0.8,0.1702127659574468
5,8,9,0.10909090909090909,0.06,0.6,0.1090909090909091
5,8,10,0.19672131147540983,0.0,0.0,0.0
5,8,11,0.22950819672131148,0.022727272727272728,0.2,0.04081632653061225
5,8,12,0.24561403508771928,0.10416666666666667,1.0,0.18867924528301885
