n_poi,n_run,n_epoch,accuracy,precision,recall,f1
5,0,0,0.8,0.2,1.0,0.33333333333333337
5,0,1,0.47,0.0,0.0,0.0
5,0,2,0.59,0.10869565217391304,1.0,0.19607843137254902
5,0,3,0.46,0.0,0.0,0.0
5,0,4,0.54,0.0,0.0,0.0
5,0,5,0.5,0.0,0.0,0.0
5,0,6,0.76,0.1724137931034483,1.0,0.29411764705882354
5,0,7,0.66,0.1282051282051282,1.0,0.22727272727272727
5,0,8,0.61,0.11363636363636363,1.0,0.20408163265306123
5,0,9,0.63,0.11904761904761904,1.0,0.21276595744680848
5,0,10,0.58,0.0,0.0,0.0
5,0,11,0.45,0.0,0.0,0.0
5,0,12,0.47,0.0,0.0,0.0
5,0,13,0.46,0.0,0.0,0.0
5,0,14,0.65,0.125,1.0,0.2222222222222222
5,0,15,0.63,0.11904761904761904,1.0,0.21276595744680848
5,0,16,0.66,0.1282051282051282,1.0,0.22727272727272727
5,0,17,0.47,0.0,0.0,0.0
5,0,18,0.59,0.10869565217391304,1.0,0.19607843137254902
5,0,19,0.48,0.0,0.0,0.0
5,0,20,0.58,0.0,0.0,0.0
5,0,21,0.57,0.0,0.0,0.0
5,0,22,0.53,0.0,0.0,0.0
5,0,23,0.53,0.0,0.0,0.0
5,0,24,0.58,0.10638297872340426,1.0,0.1923076923076923
5,1,0,0.99,0.8333333333333334,1.0,0.9090909090909091
5,1,1,0.69,0.1388888888888889,1.0,0.24390243902439027
5,1,2,0.6,0.1111111111111111,1.0,0.19999999999999998
5,1,3,0.59,0.10869565217391304,1.0,0.19607843137254902
5,1,4,0.67,0.13157894736842105,1.0,0.23255813953488372
5,1,5,0.61,0.11363636363636363,1.0,0.20408163265306123
5,1,6,0.61,0.11363636363636363,1.0,0.20408163265306123
5,1,7,0.48,0.0,0.0,0.0
5,1,8,0.54,0.0,0.0,0.0
5,1,9,0.6,0.1111111111111111,1.0,0.19999999999999998
5,1,10,0.58,0.0,0.0,0.0
5,1,11,0.48,0.0,0.0,0.0
5,1,12,0.59,0.10869565217391304,1.0,0.19607843137254902
5,1,13,0.62,0.11627906976744186,1.0,0.20833333333333334
5,1,14,0.64,0.12195121951219512,1.0,0.21739130434782605
5,1,15,0.69,0.1388888888888889,1.0,0.24390243902439027
5,1,16,0.63,0.11904761904761904,1.0,0.21276595744680848
5,1,17,0.61,0.0,0.0,0.0
5,1,18,0.64,0.12195121951219512,1.0,0.21739130434782605
5,1,19,0.49,0.0,0.0,0.0
5,1,20,0.47,0.0,0.0,0.0
5,1,21,0.74,0.16129032258064516,1.0,0.27777777777777773
5,1,22,0.59,0.10869565217391304,1.0,0.19607843137254902
5,1,23,0.56,0.0,0.0,0.0
5,1,24,0.48,0.0,0.0,0.0
5,2,0,0.9,0.3333333333333333,1.0,0.5
5,2,1,0.68,0.13513513513513514,1.0,0.2380952380952381
5,2,2,0.46,0.0,0.0,0.0
5,2,3,0.56,0.10204081632653061,1.0,0.1851851851851852
5,2,4,0.59,0.10869565217391304,1.0,0.19607843137254902
